"item","Frequency"
"been able to",260
"more and more",260
"one of our",260
"to see a",260
"8 p m",259
"all of us",259
"and then i",259
"happy birthday to",259
"and we re",258
"if i can",258
"some of my",258
"would be the",258
"10 a m",257
"for more information",257
"it isn t",257
"me i m",257
"out to be",257
"ready for the",257
"don t understand",256
"be a great",255
"don t see",255
"for the past",255
"i get a",255
"is that the",255
"know what you",255
"is trying to",254
"me and i",254
"that i had",254
"to see it",254
"you won t",254
"don t worry",253
"i did not",253
"lot of people",253
"t have the",253
"the people who",253
"to go back",253
"to watch the",253
"but if you",252
"he said i",252
"i think he",252
"it was so",252
"a matter of",251
"is such a",251
"it s really",251
"on the floor",251
"s a lot",251
"t know if",251
"that s how",251
"the time to",251
"was a good",251
"all of you",250
"based on the",250
"know i m",250
"over the next",250
"they want to",250
"ve got a",250
"i just got",249
"to be an",249
"to create a",249
"where are you",249
"happy mother s",248
"so you can",248
"thanks for sharing",248
"the right to",248
"a good thing",247
"but don t",247
"president barack obama",247
"to pick up",247
"11 a m",246
"and he s",246
"and you can",246
"feel free to",246
"they re not",246
"just have to",245
"and i had",244
"due to the",244
"every time i",244
"in my head",244
"the next day",244
"you know i",244
"just a few",243
"the use of",243
"to work on",243
"at the top",242
"first time in",242
"the last time",242
"the time of",242
"we ll see",242
"you and your",242
"9 p m",241
"hope you re",241
"i got to",241
"so we can",241
"to pay for",241
"to see how",241
"to win the",241
"when it s",241
"bit of a",240
"getting ready for",240
"had to be",240
"he is a",240
"is there a",240
"this is what",240
"you re the",240
"don t miss",239
"for some reason",239
"the ability to",239
"there are no",239
"what it is",239
"for the mention",238
"in the face",238
"just can t",238
"m trying to",238
"to do something",238
"to do this",238
"wish i had",238
"and have a",237
"it s my",237
"i can see",236
"is a very",236
"last year s",236
"over the last",236
"should be a",236
"the most important",236
"this is my",236
"for a long",235
"for the day",235
"hope you have",235
"how much i",235
"in a while",235
"just wanted to",235
"of the house",235
"the way i",235
"to come to",235
"up for the",235
"let s get",234
"more of a",234
"of the night",234
"the size of",234
"for the new",233
"it s also",233
"will continue to",233
"a picture of",232
"and there s",232
"at the university",232
"he said it",232
"if you need",232
"to tell you",232
"it it s",231
"way to go",231
"for those who",230
"may not be",230
"to use the",230
"a few more",229
"in the new",229
"it could be",229
"t think i",229
"all of my",228
"i was so",228
"isn t a",228
"the best of",228
"the other side",228
"when you have",228
"in the air",227
"let you know",227
"looks like a",227
"my way to",227
"that i ve",227
"you had a",227
"across the country",226
"i m thinking",226
"in the case",226
"it s only",226
"make sure to",226
"that there is",226
"the same way",226
"what s going",226
"being able to",225
"i could have",225
"that they are",225
"wait for the",225
"what is your",225
"who wants to",225
"as it is",224
"bottom of the",224
"in st louis",224
"a few minutes",223
"that you re",223
"welcome to the",223
"wish i was",223
"and i ve",222
"and they are",222
"don t feel",222
"for the ff",222
"he has a",222
"if you like",222
"have to get",221
"hope you are",221
"like to see",221
"to get some",221
"want to know",221
"you know you",221
"day of the",220
"i try to",220
"it won t",220
"of the way",220
"out on the",220
"people in the",220
"s one of",220
"the next few",220
"the time i",220
"they have a",220
"this was a",220
"to get in",220
"to listen to",220
"are you doing",219
"in the fourth",219
"there are some",219
"all of them",218
"come to the",218
"get to the",218
"in the process",218
"it s still",218
"the only way",218
"a sense of",217
"down to the",217
"happy mothers day",217
"if i could",217
"on the same",217
"she didn t",217
"that s just",217
"the team s",217
"way to the",217
"when you are",217
"could have been",216
"haven t seen",216
"i want a",216
"it was just",216
"the power of",216
"who don t",216
"10 p m",215
"and this is",215
"best way to",215
"it ll be",215
"ready to go",215
"really don t",215
"to the next",215
"a list of",214
"are looking for",214
"he wasn t",214
"so proud of",214
"that we are",214
"well as the",214
"and we ll",213
"but i ll",213
"forward to the",213
"in san francisco",213
"in the car",213
"it on the",213
"on how to",213
"right now i",213
"the second half",213
"to say i",213
"in the way",212
"more than 1",212
"thanks for your",212
"was on the",212
"wouldn t have",212
"you know it",212
"and all the",211
"getting ready to",211
"go to bed",211
"had no idea",211
"t even know",211
"able to get",210
"as you can",210
"i hate when",210
"it i m",210
"nothing to do",210
"the best way",210
"the majority of",210
"5 p m",209
"and i are",209
"and i just",209
"at some point",209
"didn t think",209
"i think they",209
"isn t it",209
"the first round",209
"you guys are",209
"4 p m",208
"hall of fame",208
"is part of",208
"it to be",208
"me in the",208
"s going on",208
"the federal government",208
"was a little",208
"could be a",207
"did you get",207
"i ve always",207
"love you too",207
"need to do",207
"on to the",207
"that we have",207
"that will be",207
"a good idea",206
"a lot to",206
"and one of",206
"and will be",206
"if i was",206
"in the final",206
"it s always",206
"last night i",206
"that this is",206
"that you are",206
"the last few",206
"they can t",206
"we had to",206
"and you re",205
"but i was",205
"can be a",205
"forward to seeing",205
"gonna be a",205
