"item","Frequency"
"i don t mind",71
"i need to do",71
"is it just me",71
"it s like a",71
"looking forward to your",71
"might be able to",71
"player of the year",71
"s o to my",71
"so proud of you",71
"t think it s",71
"the past two years",71
"there are a few",71
"what is going on",71
"what to do with",71
"you can see the",71
"you had a great",71
"could not be reached",70
"i just need to",70
"i love it when",70
"i m looking for",70
"in the near future",70
"in the next few",70
"is supposed to be",70
"it s not like",70
"of one of the",70
"that doesn t mean",70
"that you don t",70
"to see you there",70
"we would like to",70
"would like to see",70
"and i want to",69
"and you don t",69
"as long as i",69
"awkward moment when you",69
"doesn t have a",69
"doesn t have to",69
"i m a little",69
"i m ready for",69
"make it to the",69
"open to the public",69
"thank you to everyone",69
"that s what we",69
"the last few years",69
"to keep up with",69
"to the united states",69
"we would love to",69
"when i was in",69
"you ve got a",69
"can t wait till",68
"fell in love with",68
"great to meet you",68
"hundreds of thousands of",68
"i can t do",68
"i can t say",68
"i guess i m",68
"i m so tired",68
"if i didn t",68
"if we don t",68
"look forward to seeing",68
"people who don t",68
"that s all i",68
"that s how i",68
"the next few days",68
"they are going to",68
"to go to bed",68
"am i the only",67
"and don t forget",67
"as a way to",67
"didn t know what",67
"don t know the",67
"get a chance to",67
"got a lot of",67
"i guess it s",67
"i need to be",67
"i think i ve",67
"in the parking lot",67
"more than a year",67
"not the only one",67
"shout out to my",67
"there is a lot",67
"this is why i",67
"wasn t going to",67
"what do you do",67
"you know you re",67
"you re having a",67
"for most of the",66
"have a chance to",66
"have been able to",66
"i m sure it",66
"i wouldn t be",66
"it was one of",66
"please let me know",66
"s been a while",66
"s day to all",66
"the last day of",66
"think i m going",66
"to go to sleep",66
"told the associated press",66
"when you have a",66
"wish i had a",66
"with the rest of",66
"you don t get",66
"10 a m to",65
"do not want to",65
"hope you re having",65
"is not going to",65
"it was going to",65
"let me tell you",65
"middle of the night",65
"of some of the",65
"one of the top",65
"t know what i",65
"that it would be",65
"that there is a",65
"the past few years",65
"there s no way",65
"to learn more about",65
"to share with you",65
"we need to get",65
"will be at the",65
"you re looking for",65
"a copy of the",64
"but i think i",64
"but you can t",64
"don t give a",64
"had so much fun",64
"he was going to",64
"i can t stop",64
"i had a great",64
"i have a few",64
"i m not even",64
"i still don t",64
"in the last few",64
"in the right direction",64
"isn t going to",64
"let s do it",64
"more than a decade",64
"t get me wrong",64
"tens of thousands of",64
"thanks for the rts",64
"the history of the",64
"the middle of a",64
"there is so much",64
"this is what i",64
"to check it out",64
"to let you know",64
"wait to see what",64
"will be in the",64
"8 30 p m",63
"and i have been",63
"but it doesn t",63
"doesn t seem to",63
"don t think you",63
"i have to do",63
"i m so sorry",63
"i m sorry i",63
"i ve got to",63
"in a couple of",63
"it s about time",63
"just in time for",63
"on the verge of",63
"one of the biggest",63
"so that i can",63
"the head of the",63
"the state department of",63
"the u s government",63
"there are plenty of",63
"to go to school",63
"u s district judge",63
"when i get home",63
"at 10 a m",62
"at the age of",62
"by the u s",62
"didn t get to",62
"didn t have the",62
"don t know where",62
"don t think we",62
"for all of the",62
"for the heads up",62
"have no idea how",62
"i felt like i",62
"i know i know",62
"i love you 3",62
"i m in love",62
"know what i m",62
"s gonna be a",62
"the majority of the",62
"there is no way",62
"to be the best",62
"to go to a",62
"to say the least",62
"to the point where",62
"to the top of",62
"was a lot of",62
"would have to be",62
"a whole lot of",61
"and i had a",61
"and i will be",61
"are going to have",61
"as far as i",61
"be able to do",61
"be reached for comment",61
"both sides of the",61
"cant wait to see",61
"have to do is",61
"have to worry about",61
"i can t sleep",61
"if you didn t",61
"in the second quarter",61
"in washington d c",61
"not being able to",61
"one of my favorites",61
"one of the many",61
"one of those days",61
"over and over again",61
"the course of the",61
"the world s largest",61
"we were able to",61
"a few months ago",60
"a little bit more",60
"at the very least",60
"by the time i",60
"going to be in",60
"how have you been",60
"i ll see you",60
"i want to get",60
"if you are interested",60
"if you want a",60
"is the first time",60
"it is going to",60
"it is time to",60
"not a fan of",60
"see you at the",60
"the heart of the",60
"they don t want",60
"to give it a",60
"to see you at",60
