"w1","w2","rank"
"afternoon","go",5
"afternoon","just",7
"afternoon","late",5
"afternoon","looks",3
"afternoon","new",6
"afternoon","one",4
"afternoon","playing",3
"afternoon","really",4
"afternoon","saw",6
"afternoon","school",4
"afternoon","see",4
"afternoon","session",5
"afternoon","snack",10
"afternoon","sun",6
"afternoon","tea",16
"afternoon","thought",3
"afternoon","tomorrow",4
"afternoon","took",6
"afternoon","trying",4
"afternoon","will",8
"afterschool","program",4
"afterschool","programs",9
"agatha","christie",4
"age","also",8
"age","appropriate",8
"age","average",4
"age","can",20
"age","difference",6
"age","digital",4
"age","especially",3
"age","facebook",3
"age","father",5
"age","first",5
"age","get",5
"age","group",32
"age","groups",17
"age","kids",5
"age","know",6
"age","live",5
"age","made",4
"age","may",5
"age","maybe",4
"age","new",4
"age","now",7
"age","older",17
"age","people",4
"age","start",4
"age","time",6
"age","way",4
"age","will",19
"age","years",12
"aged","months",3
"agencies","will",10
"agency","got",3
"agency","says",8
"agency","see",3
"agency","sent",3
"agency","take",3
"agency","will",21
"agent","change",3
"agent","good",4
"agent","just",4
"agent","orange",5
"agent","said",7
"agents","new",5
"ages","ago",14
"ages","can",5
"ages","now",6
"ages","take",4
"ages","will",3
"ago","almost",4
"ago","another",4
"ago","back",8
"ago","big",5
"ago","came",6
"ago","can",12
"ago","covered",3
"ago","decided",9
"ago","early",3
"ago","everyone",4
"ago","felt",4
"ago","finally",8
"ago","first",16
"ago","found",7
"ago","get",4
"ago","got",13
"ago","great",6
"ago","hear",3
"ago","hope",5
"ago","idea",8
"ago","instead",4
"ago","just",25
"ago","kids",3
"ago","knew",6
"ago","know",11
"ago","last",11
"ago","looked",6
"ago","looking",7
"ago","lost",6
"ago","make",5
"ago","maybe",7
"ago","men",6
"ago","mentioned",4
"ago","might",5
"ago","miss",4
"ago","much",6
"ago","name",3
"ago","need",5
"ago","never",16
"ago","new",10
"ago","now",37
"ago","one",25
"ago","opened",4
"ago","people",7
"ago","perfect",3
"ago","project",4
"ago","put",5
"ago","read",3
"ago","reading",3
"ago","really",16
"ago","returned",6
"ago","right",5
"ago","said",43
"ago","says",5
"ago","seems",6
"ago","since",8
"ago","started",13
"ago","still",28
"ago","suddenly",4
"ago","sure",5
"ago","talked",3
"ago","team",4
"ago","tell",6
"ago","think",8
"ago","though",3
"ago","thought",10
"ago","time",9
"ago","today",72
"ago","told",6
"ago","took",16
"ago","trying",4
"ago","us",4
"ago","walking",5
"ago","went",11
"ago","will",12
"ago","wonder",5
"ago","wrote",12
"ago","years",8
"agree","assessment",4
"agree","can",10
"agree","disagree",14
"agree","everything",6
"agree","go",3
"agree","just",8
"agree","little",5
"agree","much",7
"agree","must",3
"agree","need",7
"agree","one",17
"agree","point",4
"agree","will",7
"agreed","go",4
"agreed","going",3
"agreed","make",4
"agreed","new",8
"agreed","plan",4
"agreed","share",6
"agreed","take",11
"agreed","try",4
"agreed","upon",9
"agreed","use",5
"agreement","reached",12
"agreement","signed",3
"agreement","will",8
"ah","sweet",3
"ah","well",30
"ah","will",6
"ah","yes",40
"aha","moment",7
"ahead","cant",5
"ahead","curve",8
"ahead","game",7
"ahead","go",4
"ahead","good",6
"ahead","make",4
"ahead","reserve",3
"ahead","schedule",11
"ahead","time",46
"ahead","us",25
"ahead","will",7
"aid","kit",4
"aid","programs",6
"aids","epidemic",4
"aids","foundation",3
"aim","get",4
"aim","please",9
"aim","provide",3
"aimed","creating",4
"aint","gonna",31
"aint","got",65
"aint","much",6
"aint","nothin",12
"aint","nothing",29
"aint","one",14
"aint","pretty",3
"aint","til",3
"air","balloon",15
"air","blowing",3
"air","breathe",7
"air","can",4
"air","conditioner",13
"air","conditioners",7
"air","conditioning",49
"air","date",7
"air","force",120
"air","france",9
"air","just",12
"air","like",8
"air","live",8
"air","mattress",8
"air","museum",3
"air","pollution",13
"air","pushed",3
"air","quality",27
"air","service",6
"air","space",12
"air","station",10
"air","still",3
"air","thick",7
"air","time",15
"air","tires",3
"air","today",6
"air","took",3
"air","travelers",7
"air","water",11
"air","will",12
"aires","argentina",3
"airline","industry",11
"airline","ticket",12
"airlines","already",4
"airlines","will",10
"airport","one",4
"airport","security",16
"airport","today",3
"airport","way",5
"airways","center",6
"aj","green",6
"aj","jenkins",6
"al","central",7
"al","davis",9
"al","dente",12
"al","east",10
"al","fresco",8
"al","gore",17
"al","gores",3
"al","green",8
"al","pacino",9
"al","pastor",8
"al","qaeda",49
"al","sharpton",16
"al","west",4
"alabama","georgia",6
"alabama","mississippi",7
"alan","jackson",3
"alan","lomax",3
"alarm","clock",24
"alarm","clocks",6
"alarm","goes",19
"alarms","go",3
"alaska","airlines",9
"albert","einstein",44
"albert","hall",7
"albert","nobbs",10
"albert","pujols",50
"alberta","canada",7
"album","best",3
"album","called",4
"album","ever",3
"album","just",13
"album","last",4
"album","one",7
"album","release",16
"album","released",6
"album","sounds",3
"album","title",5
"album","will",10
"album","year",10
"albums","far",3
"albums","music",4
"albuquerque","nm",10
"alcohol","addiction",4
"alcohol","consumption",7
"alcohol","content",7
"alcohol","intake",3
"alcohol","never",3
"alcoholic","beverage",10
"alcoholic","drinks",4
"ale","house",12
"alec","baldwin",12
"alert","system",6
"alex","go",4
"alex","rodriguez",12
"alex","time",3
"alexander","great",6
"alexander","mcqueen",5
"alexandre","dumas",3
"alexandria","va",8
"alfred","hitchcock",7
"alfredo","sauce",9
"alice","chains",6
"alice","tully",3
"alice","wonderland",24
"alicia","keys",18
"alison","krauss",6
"alive","can",8
"alive","even",7
"alive","today",14
"alive","watching",3
"alive","well",32
"alkaline","water",7
"allan","poe",10
"allen","ginsberg",3
"allen","west",6
"allentown","pa",4
"allergic","reaction",8
"allergy","pill",3
"allergy","season",6
"allergy","symptoms",4
"alliance","justice",3
"allman","brothers",4
"allow","anyone",9
"allow","become",3
"allow","easy",3
"allow","much",5
"allow","people",15
"allow","us",38
"allow","use",9
"allowed","bring",5
"allowed","cross",3
"allowed","even",4
"allowed","get",11
"allowed","go",5
"allowed","just",14
"allowed","keep",7
"allowed","know",4
"allowed","live",4
"allowed","marry",4
"allowed","one",19
"allowed","people",5
"allowed","run",9
"allowed","see",8
"allowed","show",4
"allowed","speak",5
"allowed","take",5
"allowed","us",13
"allowed","use",13
"allowed","vote",7
"allowed","walk",4
"allowing","continue",3
"allowing","god",3
"allowing","one",8
"allowing","see",4
"allowing","us",12
"allows","people",6
"allows","us",35
"allows","use",6
"allows","users",8
"allstar","game",45
"allstar","team",10
"alltime","favorite",13
"alltime","favorites",4
"alltime","high",11
"alltime","low",8
"alltime","record",7
"alma","mater",40
"almonds","walnuts",6
"almost","almost",3
"almost","always",58
"almost","answer",3
"almost","anything",21
"almost","anywhere",4
"almost","back",8
"almost","bought",6
"almost","cant",4
"almost","certain",13
"almost","certainly",44
"almost","complete",13
"almost","completely",11
"almost","daily",9
"almost","dead",7
"almost","done",88
"almost","doubled",8
"almost","dozen",3
"almost","dropped",4
"almost","end",5
"almost","entire",15
"almost","entirely",19
"almost","every",98
"almost","everyone",36
"almost","everyones",4
"almost","everything",34
"almost","exact",8
"almost","feel",15
"almost","feels",4
"almost","five",8
"almost","forgot",39
"almost","forgotten",5
"almost","full",6
"almost","fully",5
"almost","good",13
"almost","got",32
"almost","half",21
"almost","hit",9
"almost","hour",7
"almost","immediately",32
"almost","impossible",33
"almost","just",11
"almost","killed",9
"almost","know",5
"almost","like",56
"almost","long",8
"almost","lost",13
"almost","many",6
"almost","million",21
"almost","minutes",5
"almost","months",12
"almost","much",21
"almost","need",4
"almost","never",31
"almost","new",6
"almost","none",6
"almost","nothing",13
"almost","one",17
"almost","passed",11
"almost","people",11
"almost","perfect",5
"almost","pounds",5
"almost","ready",25
"almost","saw",4
"almost","seems",4
"almost","sure",4
"almost","three",20
"almost","time",64
"almost","times",3
"almost","turned",3
"almost","two",35
"almost","universally",8
"almost","upon",3
"almost","want",5
"almost","way",3
"almost","week",5
"almost","weeks",9
"almost","went",6
"almost","will",4
"almost","won",5
"almost","year",27
"almost","years",64
"aloe","vera",7
"aloha","friday",6
"alone","can",11
"alone","car",3
"alone","dark",4
"alone","enough",3
